time NV31 NV44 XDUT_LP1_I XDUT_B1_I XDUT_L2_I XDUT_L3_I XDUT_B2_I XDUT_LP2_I
2.349999999999999e-011 -1.592099726289638e-005 2.144078316068504e-005 2.610939934917788e-004 2.398238050680643e-004 -3.091780736398273e-004 3.210739263601727e-004 2.499582463497920e-004 2.659877474183189e-004 
2.374999999999999e-011 -4.632643942609351e-005 3.166114521078028e-006 2.511247439407792e-004 2.296604918520709e-004 -3.095180945363647e-004 3.207339054636352e-004 2.407818342150123e-004 2.600868101793416e-004 
2.399999999999999e-011 -2.024939519145395e-005 2.910103634874177e-005 2.441502112040494e-004 2.269287260091194e-004 -3.105105401502558e-004 3.197414598497442e-004 2.365283679025178e-004 2.553201815800083e-004 
2.424999999999999e-011 -2.072198660284399e-005 1.625028232627696e-005 2.419078604403944e-004 2.314618478504287e-004 -3.119543897934566e-004 3.182976102065434e-004 2.371244862169556e-004 2.526976010228821e-004 
2.449999999999999e-011 2.201492458371810e-005 3.874652105622820e-005 2.443122202938497e-004 2.406505609365862e-004 -3.135414706348054e-004 3.167105293651946e-004 2.407635135713577e-004 2.521101290985445e-004 
2.474999999999999e-011 2.114313207351693e-005 1.686944443015023e-005 2.496815166217284e-004 2.506142758756676e-004 -3.149199957386065e-004 3.153320042613935e-004 2.451003947551429e-004 2.527439443130399e-004 
2.499999999999999e-011 5.014373055707420e-005 3.030387702740207e-005 2.555473272504095e-004 2.576957854028685e-004 -3.157812872537878e-004 3.144707127462122e-004 2.483017018397893e-004 2.536574925576809e-004 
2.524999999999998e-011 3.016336790169853e-005 3.807061066817985e-006 2.596666865532389e-004 2.597376887966470e-004 -3.159521128136693e-004 3.142998871863307e-004 2.495610235041980e-004 2.542062895982000e-004 
2.549999999999998e-011 4.218810004663761e-005 1.857134113719638e-005 2.607746117506167e-004 2.566617800384556e-004 -3.154550235880129e-004 3.147969764119871e-004 2.490364960633849e-004 2.541792550891830e-004 
2.574999999999998e-011 1.183560179557473e-005 -2.111513586669531e-006 2.588243593677450e-004 2.500650215065561e-004 -3.145027035352129e-004 3.157492964647871e-004 2.474321279291800e-004 2.536905407742810e-004 
2.599999999999998e-011 2.122999708125803e-005 1.977694605986152e-005 2.547442147899408e-004 2.423558853119340e-004 -3.134239704001944e-004 3.168280295998056e-004 2.454628556667377e-004 2.529628183363234e-004 
2.624999999999998e-011 -5.481630698607538e-006 4.497945602761367e-006 2.499139042546967e-004 2.357958034901259e-004 -3.125532688010501e-004 3.176987311989499e-004 2.435871003420133e-004 2.521482220276544e-004 
2.649999999999998e-011 1.125769453870074e-005 2.845274850638909e-005 2.456298090369905e-004 2.317874561192987e-004 -3.121284369913199e-004 3.181235630086801e-004 2.419157655243393e-004 2.512618684406851e-004 
2.674999999999998e-011 -7.060512068773078e-006 1.196300334746751e-005 2.427388409130531e-004 2.306430881329424e-004 -3.122319232171307e-004 3.180200767828693e-004 2.403269047079981e-004 2.502206160000001e-004 
2.699999999999998e-011 1.680570984473612e-005 3.273779726282548e-005 2.414930190661424e-004 2.317419499638978e-004 -3.127879279106627e-004 3.174640720893373e-004 2.386499770529443e-004 2.489355005561068e-004 
2.724999999999998e-011 2.879551481308824e-006 1.282024692413011e-005 2.416077279766403e-004 2.339187927082255e-004 -3.136065905094905e-004 3.166454094905095e-004 2.368051706314693e-004 2.473926080001007e-004 
2.749999999999998e-011 2.800520646365691e-005 3.127257890816350e-005 2.424586187558983e-004 2.359133577974004e-004 -3.144545146662237e-004 3.157974853337763e-004 2.348385233077557e-004 2.456773063953835e-004 
2.774999999999998e-011 1.274225305943910e-005 1.072107330668617e-005 2.433302500841714e-004 2.367413816740142e-004 -3.151272542233753e-004 3.151247457766247e-004 2.328621119916590e-004 2.439358665382851e-004 
2.799999999999997e-011 3.502956204521025e-005 3.007320557251657e-005 2.436334416802024e-004 2.359002105978253e-004 -3.155022555080383e-004 3.147497444919617e-004 2.309549720021417e-004 2.423029569815736e-004 
2.824999999999997e-011 1.666368774347733e-005 1.137038143948040e-005 2.430351419353759e-004 2.333859881467530e-004 -3.155591902005819e-004 3.146928097994181e-004 2.290872523547029e-004 2.408363145430295e-004 
2.849999999999997e-011 3.664036820685575e-005 3.287100957761681e-005 2.414835420371312e-004 2.295597161652640e-004 -3.153664783246943e-004 3.148855216753057e-004 2.271037557974951e-004 2.394891455900079e-004 
2.874999999999997e-011 1.743907595141256e-005 1.616642066926433e-005 2.391466789001031e-004 2.249370797803748e-004 -3.150439781891766e-004 3.152080218108234e-004 2.247646359404510e-004 2.381271571255889e-004 
2.899999999999997e-011 3.828789619774830e-005 3.936327912106598e-005 2.363031010660186e-004 2.199810114651771e-004 -3.147180352718759e-004 3.155339647281241e-004 2.218122660752143e-004 2.365750214382801e-004 
2.924999999999997e-011 2.148074240824660e-005 2.416124139615326e-005 2.332257402970805e-004 2.149524482470405e-004 -3.144844848085995e-004 3.157675151914005e-004 2.180255819369775e-004 2.346666051418990e-004 
2.949999999999997e-011 4.578169321581087e-005 4.893220811246795e-005 2.300901162520163e-004 2.098402842471543e-004 -3.143892398738351e-004 3.158627601261648e-004 2.132348728457692e-004 2.322763992036775e-004 
2.974999999999997e-011 3.296508814646430e-005 3.570385449067954e-005 2.269228791838561e-004 2.043614727467173e-004 -3.144281976722222e-004 3.158238023277777e-004 2.072904588405146e-004 2.293214110195234e-004 
2.999999999999997e-011 6.146829522395862e-005 6.319902194719030e-005 2.235918568136951e-004 1.980035478639223e-004 -3.145616822884255e-004 3.156903177115745e-004 1.999957799064969e-004 2.257357935012647e-004 
3.024999999999997e-011 5.313258071720020e-005 5.384428433887528e-005 2.198267292580935e-004 1.900739896468811e-004 -3.147353583503818e-004 3.155166416496182e-004 1.910214706844068e-004 2.214286135943944e-004 
3.049999999999997e-011 8.696033440160265e-005 8.688835357739093e-005 2.152513278096433e-004 1.797204285738418e-004 -3.148996674472867e-004 3.153523325527133e-004 1.798110014192762e-004 2.162359584331661e-004 
3.074999999999997e-011 8.587053394771095e-005 8.552999679406632e-005 2.094052114249994e-004 1.658899757530628e-004 -3.150223860951346e-004 3.152296139048654e-004 1.654748401780873e-004 2.098731850835148e-004 
3.099999999999996e-011 1.304376155715406e-004 1.301891666556364e-004 2.017341439290480e-004 1.472049790314515e-004 -3.150924586521550e-004 3.151595413478450e-004 1.466570034019429e-004 2.018850157301348e-004 
3.124999999999996e-011 1.456492224262063e-004 1.457998505922392e-004 1.915368293555532e-004 1.217542703866566e-004 -3.151164916862552e-004 3.151355083137448e-004 1.213606182893695e-004 1.915854552233724e-004 
3.149999999999996e-011 2.145824114483219e-004 2.151190792545260e-004 1.778732404794041e-004 8.686887666094473e-005 -3.151113092886075e-004 3.151406907113925e-004 8.677815512043806e-005 1.779855519360788e-004 
3.174999999999996e-011 2.644577166604682e-004 2.653365894476976e-004 1.594899152105950e-004 3.916942773421642e-005 -3.150964266362097e-004 3.151555733637903e-004 3.938954244310564e-005 1.597502285639507e-004 
3.199999999999996e-011 3.771027050778356e-004 3.781229636504788e-004 1.349640371927518e-004 -2.437363451546125e-005 -3.150892562845450e-004 3.151627437154550e-004 -2.394527413511678e-005 1.353717276627583e-004 
3.224999999999996e-011 4.658138082395981e-004 4.669467307369024e-004 1.035858111583146e-004 -1.036412197338848e-004 -3.151031464210641e-004 3.151488535789359e-004 -1.031714140818643e-004 1.040725148991164e-004 
3.249999999999996e-011 5.742718306984702e-004 5.754343083851574e-004 6.757721682627130e-005 -1.898442663411422e-004 -3.151441393588000e-004 3.151078606412000e-004 -1.895101450392945e-004 6.804341132762893e-005 
3.274999999999996e-011 5.726046086595586e-004 5.738189898260815e-004 3.443740472850931e-005 -2.524053528612301e-004 -3.152042240463713e-004 3.150477759536287e-004 -2.522868457650491e-004 3.481181415790738e-005 
3.299999999999996e-011 5.226098445946682e-004 5.237916908252078e-004 1.566576002553394e-005 -2.572956491168377e-004 -3.152615475349883e-004 3.149904524650117e-004 -2.573077928812556e-004 1.596063971278050e-005 
3.324999999999996e-011 3.979446010471723e-004 3.992461127797805e-004 2.080569039785311e-005 -1.909379633288977e-004 -3.152962552489558e-004 3.149557447510442e-004 -1.908797872043720e-004 2.111694910192618e-005 
